Name
AggressiveOpts
AggressiveUnboxing
AlignVector
AllowJNIEnvProxy
AllowNonVirtualCalls
AllowParallelDefineClass
AllowUserSignalHandlers
AllowVectorizeOnDemand
AlwaysAtomicAccesses
AlwaysCompileLoopMethods
AlwaysLockClassLoader
AlwaysRestoreFPU
AlwaysSafeConstructors
AssertOnSuspendWaitFailure
BlockLayoutByFrequency
BlockLayoutRotateLoops
BranchOnRegister
BytecodeVerificationLocal
C1OptimizeVirtualCallProfiling
C1UpdateMethodData
CICompilerCountPerCPU
CalculateClassFingerprint
CheckIntrinsics
CheckJNICalls
ClassUnloadingWithConcurrentMark
ClassUnloading
ClipInlining
CompactFields
CompilerThreadHintNoPreempt
CrashOnOutOfMemoryError
CreateCoredumpOnCrash
CriticalJNINatives
DTraceAllocProbes
DTraceMethodProbes
DTraceMonitorProbes
DebugInlinedCalls
DebugNonSafepoints
Debugging
DeoptimizeRandom
DisableAttachMechanism
DisablePrimordialThreadGuardPages
DoEscapeAnalysis
DoReserveCopyInSuperWord
DontCompileHugeMethods
DynamicallyResizeSystemDictionaries
EagerXrunInit
EliminateAllocations
EliminateAutoBox
EliminateLocks
EliminateNestedLocks
EnableContended
EnableDynamicAgentLoading
EnableThreadSMRExtraValidityChecks
EnableThreadSMRStatistics
EstimateArgEscape
ExitOnOutOfMemoryError
FailOverToOldVerifier
FilterSpuriousWakeups
FlightRecorder
FoldStableValues
ForceTimeHighResolution
ForceUnreachable
IncrementalInline
InlineArrayCopy
InlineClassNatives
InlineMathNatives
InlineNIOCheckIndex
InlineNatives
InlineObjectCopy
InlineObjectHash
InlineReflectionGetCallerClass
InlineSynchronizedMethods
InlineThreadNatives
InlineUnsafeOps
Inline
InsertMemBarAfterArraycopy
MaxFDLimit
MethodFlushing
OmitStackTraceInFastThrow
OptimizeExpensiveOps
OptimizeFill
OptimizePtrCompare
OptimizeStringConcat
PartialPeelAtUnsignedTests
PartialPeelLoop
PreserveAllAnnotations
RangeCheckElimination
ReassociateInvariants
ReduceBulkZeroing
ReduceFieldZeroing
ReduceInitialCardMarks
ReduceNumberOfCompilerThreads
ReduceSignalUsage
RegisterFinalizersAtInit
RelaxAccessControlCheck
RestrictContended
RestrictReservedStack
SafepointALot
SafepointTimeout
SegmentedCodeCache
SerializeVMOutput
ShrinkHeapInSteps
SpecialArraysEquals
SpecialEncodeISOArray
SpecialStringCompareTo
SpecialStringEquals
SpecialStringIndexOf
SplitIfBlocks
StackTraceInThrowable
StressCodeAging
StressGCM
StressLCM
StressLdcRewrite
StringDeduplicationRehashALot
StringDeduplicationResizeALot
SuperWordReductions
TimeLinearScan
